"   ","GPMS_ID","REGION","COUNTRY"
"496","001906","US","US"
"497","000615","US","US"
"498","003375","US","US"
"499","000760","US","US"
"500","000171","US","US"
"501","000596","US","US"
"502","300412","EU","EU"
"503","000200","US","US"
"504","000544","US","US"
"505","000447","US","US"
"506","001956","EU","EU"
"507","100300","CA","CA"
"508","001666","US","US"
"509","004704","US","US"
"510","300772","EU","EU"
"511","300346","EU","EU"
"512","002289","EU","EU"
"513","004788","US","US"
"514","000982","US","US"
"515","003954","US","US"
"516","000453","US","US"
"517","000451","US","US"
"518","003334","US","US"
"519","100517","CA","CA"
"520","002064","US","US"
"521","300778","CA","CA"
"522","000476","US","US"
"523","000264","US","US"
"524","001119","US","US"
"525","001182","US","US"
"526","001828","US","US"
"527","000191","US","US"
"528","000649","US","US"
"529","100474","CA","CA"
"530","000289","US","US"
"531","003989","US","US"
"532","000744","US","US"
"533","300572","EU","EU"
"534","001877","EU","EU"
"535","001499","US","US"
"536","000428","US","US"
"537","300557","EU","EU"
"538","300354","EU","EU"
"539","001917","US","US"
"540","001683","EU","EU"
"541","000175","US","US"
"542","000279","US","US"
"543","100504","CA","CA"
"544","004695","US","US"
"545","300359","EU","EU"
"546","001093","US","US"
"547","001421","US","US"
"548","001237","US","US"
"549","000455","US","US"
"550","001224","US","US"
"551","001386","EU","EU"
"552","000523","US","US"
"553","002971","US","US"
"554","000679","US","US"
"555","001859","US","US"
"556","001085","US","US"
"557","000599","US","US"
"558","304489","US","US"
"559","000308","US","US"
"560","002557","EU","EU"
"561","000776","US","US"
"562","000139","US","US"
"563","001523","US","US"
"564","004879","US","US"
"565","700114","EU","EU"
"566","000497","US","US"
"567","000565","US","US"
"568","000658","US","US"
"569","100366","CA","CA"
"570","000948","US","US"
"571","004885","US","US"
"572","000677","US","US"
"573","300580","EU","EU"
"574","004743","US","US"
"575","000123","US","US"
"576","000370","US","US"
"577","001352","US","US"
"578","000600","US","US"
"579","100199","CA","CA"
"580","004350","US","US"
"581","003903","US","US"
"582","001538","EU","EU"
"583","700117","EU","EU"
"584","003014","US","US"
"585","300477","EU","EU"
"586","002248","EU","EU"
"587","002085","US","US"
"588","000764","US","US"
"589","004567","US","US"
"590","001624","EU","EU"
"591","004822","US","US"
"592","100248","CA","CA"
"593","001973","CA","CA"
"594","002923","US","US"
"595","000501","US","US"
"596","000186","US","US"
"597","002712","EU","EU"
"598","100171","CA","CA"
"599","000698","US","US"
"600","000614","US","US"
"601","004382","US","US"
"602","303628","US","US"
"603","000438","US","US"
"604","000703","US","US"
"605","001189","US","US"
"606","004724","US","US"
"607","000442","US","US"
"608","000384","US","US"
"609","000589","US","US"
"610","000738","US","US"
